Entry_no,SubStructure,ESI_adduct,SubStructure_type,Abbrev_name,name,IUPAC,SMILES,formula,monoisotopic_mass,Neut.loss,frag,pos,neg,mass.shift,ref
227,1,0,butylesters of most amino acids,[HC(=O)OC4H9],[HC(=O)OC4H9],,,C5H10O2,102.068076,1,0,1,0,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
172,1,0,carboxylic acids,[COOH],[COOH],,,CHO2,44.9976546,1,0,1,0,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
176,1,0,carboxylic acids,[HCOOH],[HCOOH(H2+CO2 or H2O+CO)],,,CH2O2,46.0054792,1,0,1,1,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
193,1,0,carboxylic acids,[H2O+CO2],[H2O+CO2],,,CH2O3,62.0003942,1,0,0,1,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
265,1,0,hydroxylated carboxylic acid,[H2O+H2O+CO2],[H2O+H2O+CO2],,,CH4O4,80.0109586065,1,0,0,1,0.0,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
111,1,0,"carboxylic acids, aldehydes, ester",[H20],[H20],,,,18.010565,1,0,1,1,0.0,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
96,1,0,"carboxylic acids, carbamates",[Decarboxy CO2],[Decarboxylation CO2],,,CO2,43.98982924,1,0,1,1,0.0,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
85,1,0,carnitine,[Carn_85],[Carnitine carboxypropenylium],,,,85.02840582,0,1,1,0,143.094629,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
86,1,0,carnitine,[Carn_144],[Carnitine carboxypropenyltrimethylazanium],,,,144.1019051,0,1,1,0,143.094629,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
87,1,0,carnitine,[Carn_TMA],[Carnitine trimethylamine],,,,59.07349929,0,1,1,0,143.094629,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
88,1,0,carnitine,[Carnitine],[Carnitine],,,,161.1051934,1,0,1,0,143.094629,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
164,0,1,chlorides,[Cl],[Cl],,,Cl,34.968853,1,0,0,0,34.968853,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
165,1,0,chlorides,[HCl],[HCl],,,HCl,35.9766776,1,0,1,0,34.968853,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
196,1,0,chloroanthraquinones,[HCl+CO],[HCl+CO],,,CHOCl,63.9715926,1,0,0,0,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
221,1,0,chloroanthraquinones,[CO+CO+HCl],[CO+CO+HCl],,,C2HO2Cl,91.9665076,1,0,0,0,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
169,1,0,citrulline containing peptides,[HNCO],[HNCO],,,CHNO,43.0058136,1,0,1,0,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
94,1,0,coumaric acid,[Coumaroyl],[Coumaroyl],,,,146.0367794,1,0,1,1,0.0,Even-electron ions: a systematic study of the neutral species lost in the dissociation of quasi-molecular ions
12,1,0,cysteine,[Cys alanine],[Cysteine alanine],2-aminopropanoic acid,CC(N)C(O)=O,C3H7NO2,89.04767847,1,0,1,0,119.004101,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
13,1,0,cysteine,[Cys alanine-2H],[Cysteine alanine-2H],2-amino-2-carboxyethylidene,[CH]C(N)C(O)=O,C3H5NO2,87.03202841,1,0,1,0,119.004101,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
14,1,0,cysteine,[Cys Ammonia],[Cysteine Ammonia],ammonia,N,H3N,17.026549,1,0,1,0,119.004101,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
15,1,0,cysteine,[Cys formate],[Cysteine formate],formic acid,OC=O,CH2O2,46.0054793,1,0,1,0,119.004101,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
16,1,0,cysteine,[Cys],[Cysteine],2-amino-3-sulfanylpropanoic acid,NC(CS)C(O)=O,C3H7NO2S,121.019753,1,0,1,1,119.004101,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
17,1,0,cysteine,[Cys-],[Cysteine-],(2-amino-2-carboxyethyl)sulfanide,NC(C[S-])C(O)=O,C3H6NO2S,120.0124732,0,1,0,1,119.004101,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
18,1,0,cysteine,[Cys+],[Cysteine+],(2-amino-2-carboxyethyl)sulfanium,NC(C[SH2+])C(O)=O,C3H8NO2S,122.0270261,0,1,1,0,119.004101,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
241,1,0,deoxyhexoside,[Anhydro-deoxyhexose],[Anhydro-deoxyhexose],,,C6H10O4,146.057906,1,0,1,1,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
264,1,0,"Diacyglyceryl-N,N,N-trimethylhomoserines",[DGTS_236],[DGTS_236],,,C10H22O5N,236.1497902,0,1,1,0,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
238,1,0,dideoxyhexoside,[Anhydro-dideoxyhexose],[Anhydro-dideoxyhexose],,,C6H10O3,130.062991,1,0,1,0,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
263,1,0,digalactosyldiacylglycerol,[DGDG_341],[DGDG_341],,,C12H23NO10,341.1321898,1,0,1,0,0.0,"Yan, M et. al. MS2Analyzer  A Software for Small Molecule Substructure Annotations from Accurate Tandem Mass Spectra"
19,1,0,diglucose,[DiAnhyGlucose],[DiAnhydroGlucose],"(3R,4R)-6-methyl-3,4-dihydro-2H-pyran-2,3,4,5-tetrol;(3R,4R)-6-methyl-3,4-dihydro-2H-pyran-2,3,4,5-tetrol",CC1=C(O)[C@H](O)[C@@H](O)C(O)O1.CC1=C(O)[C@H](O)[C@@H](O)C(O)O1,C6H10O5.C6H10O5,324.1056468,1,0,1,0,360.12678,"Levsen, K. et. al. Structure elucidation of phase II metabolites by tandem mass spectrometry: an overview, Journal of Chromatography A, Volume 1067, Issues 12, 4 March 2005, Pages 55-72, ISSN 0021-9673, http://dx.doi.org/10.1016/j.chroma.2004.08.165."
