database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	P01-Ltu	P01-LN	P02-Ltu	P02-LN	P03-Ltu	P03-LN	P04-Ltu	P04-LN	P05-Ltu	P05-LN	P06-Ltu	P06-LN	P07-Ltu	P07-LN	P08-Ltu	P08-LN	P09-Ltu	P09-LN	P10-Ltu	P10-LN	P11-Rtu	P11-RN	P12-Rtu	P12-RN	P13-Rtu	P13-RN	P14-Rtu	P14-RN	P15-Rtu	P15-RN	P16-Rtu	P16-RN	P17-Rtu	P17-RN	P18-Rtu	P18-RN	P19-Rtu	P19-RN	P20-Rtu	P20-RN	P21-Rmu	P21-RN	P22-Rmu	P22-RN	P23-Rmu	P23-RN	P24-Rmu	P24-RN	P25-Rmu	P25-RN	P26-Rmu	P26-RN	P27-Rmu	P27-RN	P28-Rmu	P28-RN	P29-Rmu	P29-RN	P30-Rmu	P30-RN
HMDB0028819				Glutamylglycine	203.06734				8.566												1.27502776	0.641895703	0.087288127	0.260369229	1.041971463	0.242317049	1.016572546	0.456209796	0.309645233	0.27272747	0.710773931	0.519694103	0.86240919	0.074681522	0.645334898	0.873467183	0.274567504	0.468859471	0.429186767	0.108521497	0.47175598	0.287693779	0.29356188	0.710479759	0.198939898	0.3528639	0.471231656	0.305351335	0.807793114	0.215920791	0.387389359	0.2164985	0.375538971	0.565939804	0.881519757	0.460607834	0.610885865	0.94709127	0.287175904	0.298450224	0.459520529	0.324234178	0.427756775	0.048614456	0.191398647	0.078327818	0.261880188	0.273882994	1.161187718	0.340352215	0.818149787	0.107846315	0.250147599	0.154443173	0.639229127	0.07808159	0.61748027	0.193159196	0.099811663	0.195991285
HMDB0028827				Glutamylproline	243.09827				8.633												0.08992397	0.045560039	0.053456208	0.047513032	0.237143082	0.051841729	0.101874348	0.099199916	0.072191035	0.055560049	0.142247648	0.036760773	0.137392832	0.059652884	0.134186637	0.065558484	0.084612481	0.091673517	0.152064245	0.112218315	0.138690282	0.046098032	0.145649335	0.029308828	0.069074901	0.033758631	0.100175771	0.018810224	0.181536061	0.038615699	0.035180275	0.025173917	0.169679555	0.382583335	0.166647204	0.06397386	0.056353227	0.301844052	0.110755047	0.378237535	0.138040776	0.090419466	0.160468879	0.062416944	0.047832872	0.008071111	0.268910749	0.075775267	0.125404331	0.14756282	0.198875414	0.13768518	0.154054712	0.194137118	0.075111749	0.097671824	0.483085114	0.26903434	0.055503269	0.089825013
HMDB0028828				Glutamylserine	233.07755				8.777												2.387957255	0.660384935	0.439239051	0.368962807	1.816267038	0.756621948	1.913464029	1.84483363	3.32331364	0.72896592	1.709709358	0.740916565	2.018610328	1.189732409	2.005959235	1.288187115	1.548113141	1.188457993	1.890421455	0.7739491	2.30823097	1.821387785	2.014843885	2.018261096	2.29696709	1.140352493	0.600574607	0.206972959	2.783870585	0.771347444	0.236347242	0.2659017	1.615133181	2.100821121	2.754826375	1.907096723	1.661781886	2.193799122	3.388499309	1.408910421	1.983291602	2.728265986	1.14672003	0.435175106	1.746611952	0.221674263	2.972618308	1.445459386	2.906403526	2.504947454	2.487496664	0.382875895	2.123778268	2.700102569	2.11678401	1.295437657	4.749041006	2.919116662	2.490658323	3.361024775
HMDB0000125				Glutathione (reduced)	306.0761				8.132												96.91721147	86.89409186	47.48488382	32.68606893	130.2160671	81.37566569	68.79514451	59.68048847	184.4829571	100.1785888	168.0694998	63.71319282	102.4947628	50.38391293	139.425967	50.06593847	96.43641142	73.61102702	57.24320151	66.34712653	79.24258727	42.44261356	64.01610829	58.89380129	67.61348854	56.21077	62.51795243	26.50714296	81.70534038	27.82996217	23.18801653	17.96751234	61.98103991	89.60377461	76.57821595	51.12306352	85.60011703	121.2188093	41.53477945	81.31726576	67.50809069	48.62844029	57.53029581	46.67354656	13.86936162	0.583733529	76.70641153	47.07618156	69.19579666	26.60975002	78.38331183	34.88850776	81.97738569	84.26308827	46.58049007	78.59937609	39.896089	39.98902999	4.712407358	37.92588278
HMDB0000139				Glyceric acid	105.01932				4.881												0.006471738	0.235323665	0.00714451	0.012771219	0.00314968	0.060685303	0.003871296	0.02299828	0.002712966	0.110838908	0.004146741	0.059999847	0.003348666	0.057468566	0.007126269	0.010956312	0.010046983	0.010445568	0.009699264	0.022807842	0.019391264	0.045782386	0.028336848	0.014082238	0.013472609	0.009436743	0.002945583	0.015117478	0.003107283	0.013329847	0.006801245	0.009526641	0.038535665	0.044240352	0.00254158	0.01408621	1.136055797	0.001632995	0.011376053	0.008284612	0.014679583	0.01207966	0.005217275	0.011853197	0.007315312	0.034106735	0.028356696	0.020255832	0.00365479	0.013987976	0.005179741	0.017678404	0.003725053	0.005786773	0.008942804	0.031756389	0.00643937	0.01894219	0.011709823	0.008104551
HMDB0240316				Glycerophosphoglycerol	245.04266				6.68												6.569371243	1.207560714	8.124744985	2.329710053	5.103561978	1.870654107	5.655695359	4.213541786	5.906579724	1.179253404	6.974570286	1.003999946	12.15085154	2.346783607	3.322373035	2.562973623	3.615251844	2.519541325	6.081602479	2.657343455	1.934517238	1.289926967	2.25522092	3.022934772	2.871298896	1.679733089	3.583440231	1.296118954	3.66918519	0.463284916	4.171476328	2.419123585	0.986036845	1.824569886	8.471350679	2.272396383	0.788763061	7.410164523	2.365342448	2.468327092	4.245084706	3.308618066	2.013669276	0.796311271	1.562721707	0.108358425	1.556265969	3.033746982	7.225009554	3.290024105	4.026941927	0.272265848	3.434587626	2.222095946	2.969932345	1.176401917	1.989655947	0.991818282	2.641905207	2.607360517
HMDB0001397				Guanosine monophosphate	362.0502				9.38												0.037214991	0.006720904	0.043938208	0.008732024	0.046437543	0.054154359	0.025979604	0.029532947	0.104640119	0.014960441	0.074514658	0.012578265	0.065463724	0.106397641	0.093315171	0.016067042	0.100716788	0.056858121	0.07964381	0.012081557	0.150600342	0.043210305	0.163691313	0.03745643	0.043100408	0.027638856	0.051020106	0.008471612	0.070187473	0.018912988	0.007441297	0.008171233	0.017944874	0.037697397	0.067385718	0.062319656	0.033373624	0.102926168	0.065147711	0.0253942	0.142112315	0.091290728	0.133096844	0.019275251	0.018199986	0.000907393	0.26739973	0.047155429	0.029927139	0.049227827	0.077890537	0.010318395	0.111055096	0.05128905	0.040696717	0.020879004	0.045622761	0.013360582	0.015970884	0.027485259
HMDB0000746				Hydroxyisocaproic acid	131.07142				1.29												0.256844105	0.026412341	0.211293652	0.065398755	0.06161894	0.048357031	0.540206213	0.037997951	0.060790344	0.033019435	0.097376845	0.074974311	0.028630647	0.018951567	0.056317781	0.043160225	0.044576071	0.053726706	0.04058907	0.091328326	0.148404409	0.044358431	0.36890838	0.0961441	0.048254437	0.044299077	0.0695143	0.041652618	0.075125957	0.019864936	0.015076844	0.020232036	0.06277074	0.08193475	0.031198883	0.045617996	0.107224539	0.162997445	0.078942663	0.212316601	0.060991603	0.051622456	0.011694586	0.040615627	0.161708294	0.053954651	0.017872085	0.023461731	0.208426816	0.125665064	0.293414428	0.08602601	0.127626159	0.149827375	0.048390582	0.059834095	0.108765665	0.061677489	0.480428968	0.06366324
HMDB0000671				Indole-3-lactic acid	204.06647				1.667												0.02866649	0.006959039	0.017447602	0.007204377	0.006877139	0.005827717	0.123037974	0.012589726	0.016148096	0.003004595	0.014354637	0.006083042	0.014501147	0.00842736	0.012499456	0.019814443	0.009655658	0.013919666	0.012291714	0.010953833	0.019047578	0.007139649	0.038085623	0.025773803	0.028852032	0.006577317	0.049292956	0.009815234	0.018746131	0.01921243	0.004253121	0.002704748	0.020629753	0.01765776	0.012914952	0.005961499	0.005727037	0.008910805	0.008154341	0.029770633	0.014609145	0.01126619	0.004469926	0.005009081	0.050969335	0.001274202	0.006608579	0.010455592	0.116338091	0.08132977	0.12475196	0.020725184	0.017243141	0.017566893	0.007810456	0.009416438	0.024224848	0.014149474	0.044589009	0.013277848
HMDB0011169				L-beta-aspartyl-L-threonine	233.07736				8.489												0.625997903	0.206485663	0.224774889	0.16027518	0.509952941	0.344095747	0.925688971	0.655142923	0.687065031	0.330004025	0.397970324	0.347890267	0.567016391	0.164093459	0.399485626	0.340546881	0.294469178	0.194984249	0.396570221	0.10727925	0.383020842	0.224915445	0.361995179	0.266014091	0.234239336	0.2546521	0.296007474	0.118419268	0.343614737	0.089438799	0.137357883	0.0928997	0.33661243	0.468460389	0.575805238	0.084733535	0.114960725	0.446253037	0.365311234	0.352123886	0.16033139	0.062700097	0.250332776	0.056129719	0.317999875	0.095581957	0.049134184	0.047268933	0.232262624	0.144997543	0.586035957	0.382875895	0.199599294	0.188537412	0.099304773	1.295437657	1.058549022	0.158173152	0.126292101	0.13043635
