database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	P01-Ltu	P01-LN	P02-Ltu	P02-LN	P03-Ltu	P03-LN	P04-Ltu	P04-LN	P05-Ltu	P05-LN	P06-Ltu	P06-LN	P07-Ltu	P07-LN	P08-Ltu	P08-LN	P09-Ltu	P09-LN	P10-Ltu	P10-LN	P11-Rtu	P11-RN	P12-Rtu	P12-RN	P13-Rtu	P13-RN	P14-Rtu	P14-RN	P15-Rtu	P15-RN	P16-Rtu	P16-RN	P17-Rtu	P17-RN	P18-Rtu	P18-RN	P19-Rtu	P19-RN	P20-Rtu	P20-RN	P21-Rmu	P21-RN	P22-Rmu	P22-RN	P23-Rmu	P23-RN	P24-Rmu	P24-RN	P25-Rmu	P25-RN	P26-Rmu	P26-RN	P27-Rmu	P27-RN	P28-Rmu	P28-RN	P29-Rmu	P29-RN	P30-Rmu	P30-RN
HMDB0006547				Stearidonic acid	275.20173				9.48												45.6729686	20.88608097	1.950706539	4.765653579	10.13792846	1.067134677	81.74679235	2.070780978	3.14627981	10.02919494	88.44489399	37.86881567	14.38552261	1.293831052	6.952669535	11.66127388	5.040842479	37.53129239	7.113707188	38.38932805	48.9300084	356.7412423	47.4636239	422.8512915	1.790021192	357.1803068	126.9797122	74.65686076	35.48064345	3.929426213	10.71181556	84.74700462	112.2217132	112.2217132	213.2718868	57.39927903	384.2472795	155.2567097	23.51129135	48.75651753	77.78538473	153.559258	109.4576073	382.6148688	216.5643584	135.0438178	184.095518	779.1658487	267.3370751	266.4622447	191.8302607	78.88729212	212.327062	415.2376214	233.1543134	130.59394	516.6754347	36.47576519	138.1064415	1496.951262
HMDB0000872				Tetradecanedioic acid	257.17593				7.312												0.836701366	0.316363301	0.044255296	0.097240098	0.177581393	0.031906123	1.477417092	0.04444301	0.061654677	0.188645173	1.468031101	0.616641651	0.26505423	0.034865422	0.144012292	0.236099574	0.093651886	0.621702453	0.126777083	0.66934226	0.976644781	6.791453033	0.896876843	7.886269452	0.045902484	6.13016792	1.944353275	1.505160304	0.600410363	0.08179966	0.198749256	1.367772311	2.361020641	2.361020641	3.651304681	1.137627335	7.279485294	2.781199867	0.410470481	0.853413346	1.496561876	2.797590194	2.119604769	7.48418894	5.184939804	2.506732611	3.58189408	19.39439467	6.440857573	5.15989851	3.02991215	1.375293935	4.058354931	9.122962011	4.82026219	2.444227351	10.66729626	0.67052992	2.184348175	44.17888413
HMDB0029068				Threonylphenylalanine	265.11936				4.508												1.97511226	0.234065422	0.054843918	0.138450976	0.342233954	0.103963653	1.161942107	0.376625586	0.097126592	0.116563208	1.132867184	0.327486083	0.354298202	0.17548692	0.194311784	0.272367195	0.188095386	0.919862087	0.307036554	1.407544572	0.485525849	1.280175454	1.05465247	1.079709513	0.289403067	1.171341168	1.65954482	0.562026652	0.583254288	0.086071799	0.137852338	1.718324659	7.064316691	7.064316691	3.466564604	2.335088	1.992441601	6.558159143	0.794285172	1.004124507	1.299325102	2.578315289	0.445971146	2.327712111	8.690705461	1.729956993	1.69119169	1.059767004	2.425399676	1.251377471	1.395522995	1.302411856	5.347756139	2.311375837	8.745237305	0.560270534	2.357306044	0.386790375	8.518468211	1.099760392
HMDB0259044				Thr-Leu	231.13477				4.397												0.442328947	0.060205286	0.044943098	0.046772663	0.235208696	0.137939066	0.277188945	0.777114629	0.320015624	0.046690647	0.552779946	0.117667006	0.315118659	0.84820703	0.320896387	0.885721423	0.275532899	0.258878472	0.461946687	0.163369488	1.126493018	0.935547137	0.437735182	0.914892579	1.001688678	0.979280264	0.589010706	0.308926423	0.2407015	0.214308409	0.030250234	0.352241036	0.649483878	0.649483878	1.548396911	0.280592219	1.00701708	2.213005505	0.670696934	0.306459503	0.315316563	0.619385278	0.467246593	1.090690266	1.99112395	0.944471988	1.530300539	0.988683358	0.507181773	0.837417054	0.845604772	1.024268199	0.734652062	1.004246066	1.118250664	0.578395086	0.807593597	0.793727291	0.936167233	1.178655149
HMDB0000929				Tryptophan	203.08288				4.078												4.211294579	1.598848885	0.347357649	0.090580273	2.715435365	1.698587817	7.04802311	3.699445768	3.183261031	1.926814491	6.675590582	3.171471965	3.275947742	2.260447723	4.287080552	3.726726526	3.604086175	3.363970447	3.648988735	3.194945532	3.985559539	2.291023254	9.47664813	2.447278856	3.529206159	2.603586275	1.358344117	2.58239349	4.682276005	1.583679088	0.075094833	8.465547428	24.69543384	24.69543384	9.964113476	2.493956716	1.725612612	20.92884192	3.426624362	3.097758714	5.193464849	5.593244909	2.445363176	0.87619538	10.08862001	0.800148786	6.974300793	1.020743546	5.93443176	3.706909594	15.42613884	8.506657327	4.477494728	1.560085359	4.119481513	2.381747976	5.704539281	4.319352364	5.772712057	1.031813341
HMDB0000158				Tyrosine	180.06678				1.271												3.409538012	1.092314877	0.319732076	0.395320509	2.910210344	0.240682155	4.853471895	0.906976964	0.70277771	0.863851466	6.225142961	3.172901939	2.372076818	0.415551607	2.319930472	1.499673885	1.098118171	3.562771556	5.862071677	3.008023381	4.235094356	2.572817088	9.02413847	4.087990104	0.704902514	1.781585324	4.974535268	2.934540527	6.294482807	0.625633077	1.299174801	14.4601239	23.93323197	23.93323197	20.87697395	2.847068884	2.962945823	6.98034959	5.761141517	4.03131496	8.541543122	11.95892541	4.983752185	2.306127712	11.74273237	3.801267901	6.60289149	1.842393604	9.621338617	17.60661976	18.34900923	3.511154029	13.71655199	3.758171851	9.052584597	2.757975515	13.16512848	8.360290251	8.772338367	0.267322761
HMDB0000947				Undecanoic acid	185.15484				8.953												4.153654146	1.921190914	0.15101845	0.500877499	0.649014421	0.158874994	7.342889934	0.230462749	0.221525589	0.88700926	7.415611264	3.194073203	1.095954821	0.150118051	0.461192526	0.921732629	0.466919889	3.266919833	0.618406671	3.474876008	4.132257065	29.54128399	3.776237688	33.19546084	0.186254466	25.09086362	10.8193825	4.737761109	3.280028058	0.33585647	0.916316991	7.34208035	9.18782085	9.18782085	18.21571443	4.893426633	31.02818179	12.97282909	1.863519267	3.921259952	6.55674532	12.42223129	9.623157597	29.207667	18.89214507	11.23573605	14.96853813	65.29072183	21.69652557	18.15034557	14.48845793	5.485115609	17.58405625	33.48310079	17.77594667	9.671260969	38.58219386	2.6515493	11.95307842	124.3536098
HMDB0000296				Uridine	243.06205				1.465												2.965338179	1.908325325	0.774672951	1.550427221	7.744696936	1.198823461	4.117524454	2.422135789	1.379542514	2.306792303	4.099342493	3.748975202	13.46262843	1.773925521	3.81724456	3.261053617	9.466234102	10.41834791	8.258958178	3.04988145	4.53646906	1.559301041	2.804336595	0.805636217	2.555631416	0.613077572	16.35635881	3.745514489	12.7708908	2.803594674	4.686722402	3.620562653	7.776529773	7.776529773	28.08130293	2.792356351	1.595075894	11.48523904	3.8423024	4.102746056	2.256151294	5.062253539	13.44367204	4.150947647	5.252945406	0.597273905	24.97187381	1.463529278	5.068107628	6.359833542	12.67495161	2.452224752	20.4868674	3.72448367	16.70407197	3.50221879	0.784509241	6.254303085	2.528097787	0.686203131
HMDB0000883				Valine	116.07173				0.997												3.243479625	1.361320822	4.338417213	1.487658433	2.295094072	4.038663856	3.06999219	5.823633345	3.79024195	1.030979905	1.860852675	1.061421443	2.322254694	3.74846429	2.903758676	1.804231978	3.423725663	1.364972545	3.891338727	1.207427373	1.5986266	2.021507551	3.638399997	2.393922719	4.703420802	2.563698775	1.042513603	0.653611103	1.89594714	1.288358292	0.736356547	2.655618911	4.497148281	4.497148281	1.38939829	0.77198133	1.854060056	1.618494754	1.668222103	0.926487076	1.402321777	0.852335431	0.662940547	0.789656808	1.291204724	1.777707797	0.760061237	3.666651186	1.574105856	0.906640984	2.140537059	0.515253614	1.20509574	0.842586085	0.939305116	0.449746964	5.048542218	2.178416407	1.995288489	2.262237363
HMDB0000292				Xanthine	151.02607				0.928												7.063683679	0.164700274	7.516178602	4.453282534	5.143311932	1.024729525	14.11528757	6.825446952	2.951277757	0.931773371	9.172873194	2.407622414	11.55942923	5.527366332	8.323589717	7.851854451	6.815080232	5.27459879	10.48760409	7.704965127	2.239964111	0.806093804	6.726856455	5.11999677	6.157565343	2.015109793	5.105235413	1.844400354	9.219632933	2.43906686	4.271527816	4.960839878	6.592441119	6.592441119	9.962096844	3.671233116	0.40197465	4.543590974	9.703422263	9.66086617	9.338795036	7.635164376	5.785784914	1.341655402	5.441553134	1.390309101	1.474364224	2.902296454	8.935164317	3.643653759	9.160401334	1.163471583	4.958042456	3.168186091	4.086456507	0.548190871	7.370347552	6.144155047	10.42469076	7.130104603
