database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	P01-Ltu	P01-LN	P02-Ltu	P02-LN	P03-Ltu	P03-LN	P04-Ltu	P04-LN	P05-Ltu	P05-LN	P06-Ltu	P06-LN	P07-Ltu	P07-LN	P08-Ltu	P08-LN	P09-Ltu	P09-LN	P10-Ltu	P10-LN	P11-Rtu	P11-RN	P12-Rtu	P12-RN	P13-Rtu	P13-RN	P14-Rtu	P14-RN	P15-Rtu	P15-RN	P16-Rtu	P16-RN	P17-Rtu	P17-RN	P18-Rtu	P18-RN	P19-Rtu	P19-RN	P20-Rtu	P20-RN	P21-Rmu	P21-RN	P22-Rmu	P22-RN	P23-Rmu	P23-RN	P24-Rmu	P24-RN	P25-Rmu	P25-RN	P26-Rmu	P26-RN	P27-Rmu	P27-RN	P28-Rmu	P28-RN	P29-Rmu	P29-RN	P30-Rmu	P30-RN
HMDB0254979				Myristoylcarnitine	372.31017				10.242												2.234275484	0.223542436	0.202988683	0.123357319	4.902534678	2.84074637	1.013461117	0.457103979	1.739692344	0.803605621	0.129158538	0.057364613	4.281259501	0.503616197	0.765829853	0.098394431	0.347027834	0.37833967	1.714211356	0.376002466	0.838575826	0.533709392	1.075894394	0.600446604	1.7772374	0.20240791	0.043509425	0.052140199	0.681660376	0.06724718	0.299472162	0.156062484	0.18157508	0.196153152	0.681963607	0.131663924	2.856815593	0.866662904	1.143678545	1.09441247	0.634001052	0.104957633	0.215392969	0.082531759	0.230770607	0.022528537	1.144451964	0.213287539	0.19953625	0.098630796	0.312279107	0.126291869	0.387669178	0.240002634	0.667802222	0.224328636	2.456015075	0.486318943	1.271449015	0.04865509
HMDB0001186				N1-Acetylspermine	245.2337				0.693												0.321993985	0.001022031	0.050526775	0.024889403	0.211569848	0.097751248	0.121847614	0.049228173	0.144090591	0.010156158	0.041248735	0.007295313	0.160537618	0.027815099	0.061936802	0.026287891	0.096788838	0.050723057	0.294209096	0.167674283	0.13941326	0.056941019	0.33075052	0.058158264	0.102266511	0.040205038	0.174133472	0.015343128	0.769515188	0.008583214	0.011932079	0.013003766	0.010147965	0.004937102	0.078309061	0.032055611	0.174394669	0.008849218	0.375245058	0.104031068	0.178744691	0.046595253	0.033572782	0.011850931	0.200098493	0.009083322	0.048292177	0.036783768	0.738978756	0.0399325	0.238879889	0.006224774	0.197092349	0.043558941	0.25686083	0.009100112	0.245506555	0.033783725	1.063540204	0.033794505
HMDB0002064				N-Acetylputrescine	131.1178				0.883												0.026429637	0.003753867	0.031823705	0.016971447	0.038232245	0.029879919	0.030279513	0.003003827	0.001279809	0.001272188	0.036004626	0.030241697	0.003138325	0.001499013	0.003698186	0.002335929	0.002384855	0.001567057	0.004917196	0.004669499	0.07968089	0.035626666	0.053795084	0.022015171	0.001812525	0.001200008	0.123388077	0.042923735	0.006927003	0.001426698	0.002876536	0.003386228	0.006705436	0.003535286	0.003844512	0.000837226	0.018649733	0.021609774	0.005901516	0.001508773	0.003634371	0.001848095	0.00178604	0.000901927	0.010318371	0.007360095	0.001322387	0.001720084	0.090587388	0.06183355	0.021290231	0.00326692	0.007337006	0.003927408	0.020134441	0.001207688	0.020493516	0.012818733	0.051872017	0.006951422
HMDB0001238				N-Acetylserotonin	219.11286				5.706												0.004375017	0.000584474	4.79E-05	4.10E-05	0.00360237	0.002191884	0.0054862	0.004466548	0.005104695	0.000735296	0.003434536	0.000460628	0.00553604	0.002378395	0.005064094	0.003944638	0.004041749	0.002887804	0.004781579	0.001979084	0.006542342	0.002833206	0.004194158	0.003977993	0.003587183	0.001982383	0.000183574	5.59E-05	0.003913797	0.000411919	6.00E-05	3.70E-05	0.001410486	0.001216199	0.004915116	0.001413969	0.006001855	0.000349216	0.004530597	0.001639352	0.0075638	0.002719624	0.001552924	0.000169202	0.001257173	3.90E-05	0.002458625	0.001888798	0.004916276	0.001976701	0.00342893	0.000164702	0.003644049	0.002672396	0.002146315	0.000691406	0.003547198	0.000420176	0.002078084	0.001243126
HMDB0001200				N'-Formylkynurenine	237.08747				3.515												0.014649829	0.00117798	0.007520086	0.000500483	0.033729151	0.003268234	0.042188852	0.005054364	0.037754229	0.004287977	0.01937254	0.000771662	0.045608514	0.002737007	0.02407436	0.00594373	0.014874273	0.012575654	0.028768433	0.002407626	0.026901596	0.003491535	0.010812596	0.01338886	0.028446411	0.004178473	0.006890964	0.003740137	0.024079712	0.005004152	0.031552845	0.002414352	0.019610041	0.023368645	0.045972667	0.008438834	0.088206536	0.002475769	0.042431575	0.006146848	0.065034439	0.016325812	0.050443877	0.016749238	0.020746179	0.009129833	0.020947746	0.011734936	0.018398742	0.008098575	0.028093302	0.001731491	0.028429708	0.032633761	0.016623774	0.003148201	0.024817079	0.004837802	0.028572438	0.007046475
HMDB0000791				Octanoylcarnitine	288.21727				7.66												0.058768996	0.051330426	0.054310719	0.117198032	2.57406791	2.25874377	0.289104858	0.137202922	0.603099675	0.659610249	0.020536895	0.020000646	0.438793832	0.078641613	0.124071672	0.037410975	0.078697347	0.03857115	0.164638624	0.164106431	0.530701661	0.324242813	0.185169413	0.110842056	0.284808713	0.150162355	0.021585293	0.049208896	0.283793434	0.026103792	0.078303735	0.137169415	0.028619015	0.037619004	0.052545798	0.043134231	0.156503444	0.389516467	0.240315613	0.185261446	0.468724594	0.04398553	0.093531884	0.031644447	0.088400291	0.008400913	0.337964695	0.015050881	0.012308484	0.044084817	0.189293206	0.03001594	0.062790064	0.104002801	0.189286355	0.069024412	0.6980667	0.188542406	0.174848379	0.01078781
HMDB0005065				Oleoylcarnitine	426.35696				10.778												22.21831986	1.180554933	0.379553247	1.172159805	8.658347856	6.845657585	1.450433347	1.330208439	1.977980124	1.851357647	0.377235482	0.329154522	8.559910324	1.93307824	1.245287627	0.270836712	1.045993205	1.219032722	2.005016228	1.281016328	1.907442952	0.941610446	1.736918709	3.843062659	4.037301754	0.856216808	0.241046407	0.326823902	1.181619857	0.258696903	1.289283434	0.955775932	0.602726147	1.118894128	0.571817336	0.587044908	4.957070286	2.925668575	2.341024638	7.304528786	1.777789721	0.354099303	0.90824225	0.425827429	1.148764982	0.365012326	3.243014523	0.689378205	0.396754959	0.671866695	0.506955689	0.595260581	1.568119015	1.421070337	3.106580787	0.906410934	5.272327287	2.561528469	1.548049137	0.175007866
HMDB0007869				PC(30:0)	728.51655				12.789												0.424256402	0.011322221	0.006155649	0.003378275	0.11162064	0.015084917	0.034884683	0.005548615	0.050217681	0.012092297	0.02000323	0.002179563	0.323571881	0.003979698	0.031056786	0.001325875	0.014981008	0.00813083	0.028818939	0.003343603	0.011761967	0.003116294	0.015225214	0.027818773	0.010148844	0.001952495	0.00543694	0.00097107	0.014070238	0.00108765	0.021344431	0.008876994	0.001405833	0.002401308	0.010659777	0.011193428	0.151926129	0.01118927	0.013455221	0.036356964	0.091745462	0.001347241	0.010526507	0.001706141	0.006171751	0.010079631	0.067205875	0.00686234	0.01155411	0.001344568	0.034562976	0.001202352	0.049106486	0.012113674	0.077491886	0.000964219	0.123430488	0.011924504	0.005540087	0.007225217
HMDB0000564				PC(32:0)	756.54882				13.222												0.438589583	0.178455125	0.016995474	0.03087362	0.07255257	0.061868078	0.027198768	0.005798707	0.010822357	0.014068497	0.030278504	0.012543695	0.728668669	0.004391095	0.029249006	0.005646077	0.023341802	0.040716936	0.079877261	0.028138343	0.019596197	0.011304362	0.006577011	0.093805519	0.011227233	0.003047723	0.00525762	0.001318103	0.009666598	0.001832318	0.061386614	0.080382895	0.071627073	0.020809121	0.016130344	0.097603545	0.229528325	0.074032634	0.057758553	0.358674669	0.223539382	0.008089206	0.033553371	0.006872761	0.013412154	0.038290705	0.14629079	0.084736154	0.039687993	0.019008726	0.035226038	0.003056403	0.067260248	0.11978924	0.191640617	0.011271169	0.266095699	0.153542188	0.003678174	0.097341346
HMDB0007872				PC(32:1)	732.55208				12.852												4.575516181	0.098768246	0.093844644	0.065635505	0.72520544	0.302740249	0.276097545	0.042895717	0.40882378	0.083856952	0.159493636	0.040440743	2.64111346	0.040141313	0.256923907	0.014293337	0.127731263	0.096630789	0.305005622	0.064521383	0.085222583	0.028353072	0.137082197	0.338412239	0.093325919	0.015426542	0.03988023	0.001298185	0.189910283	0.009457566	0.118265815	0.078121757	0.045444705	0.026132634	0.083832193	0.062170396	0.702737979	0.085586686	0.10413807	0.344107331	0.5157895	0.013157066	0.052664864	0.011446524	0.115940319	0.117782616	0.278950138	0.070689976	0.042246341	0.022226592	0.092169615	0.018943981	0.159348488	0.078386786	0.520824092	0.020909203	0.594174649	0.118271626	0.025155378	0.044479762
